#b_parallel b_perpendicular x y z 
0.000000 0.000000 0.000000 0.000000 0.000000
1500.000000 500.000000 0.770411 -0.614266 0.170718
1500.000000 500.000000 -0.433555 0.551465 -0.712683
1500.000000 500.000000 -0.065586 0.686663 -0.724011
1500.000000 500.000000 -0.680744 0.509953 0.525867
1500.000000 500.000000 0.193392 -0.427574 0.883052
1500.000000 500.000000 -0.456889 -0.879118 0.135660
1500.000000 500.000000 0.635344 -0.610800 0.472505
1500.000000 500.000000 0.642828 0.759083 0.102786
1500.000000 500.000000 0.331472 -0.938869 -0.093016
1500.000000 500.000000 -0.773394 -0.279939 -0.568767
1500.000000 500.000000 -0.794499 0.569856 0.209849
1500.000000 500.000000 -0.376489 0.658109 0.652034
1500.000000 500.000000 0.601069 0.562756 -0.567470
1500.000000 500.000000 -0.178068 0.476279 0.861075
1500.000000 500.000000 -0.472295 -0.790319 -0.390299
1500.000000 500.000000 0.133448 0.432767 -0.891574
1500.000000 500.000000 -0.091443 0.136447 -0.986418
1500.000000 500.000000 -0.292377 -0.678699 -0.673709
1500.000000 500.000000 0.611280 -0.789511 -0.054865
1500.000000 500.000000 0.929508 -0.368138 0.022098
1500.000000 500.000000 -0.307312 -0.939922 -0.148683
1500.000000 500.000000 -0.001220 -0.184723 -0.982790
1500.000000 500.000000 0.556430 0.030967 -0.830317
1500.000000 500.000000 0.977527 -0.066242 0.200135
1500.000000 500.000000 0.589724 0.557873 0.583955
1500.000000 500.000000 -0.987255 0.088542 0.132242
1500.000000 500.000000 -0.302036 0.801242 -0.516512
1500.000000 500.000000 0.133836 0.887942 0.440053
1500.000000 500.000000 -0.755805 0.145083 0.638521
1500.000000 500.000000 -0.639020 -0.038515 -0.768225
1500.000000 500.000000 -0.279277 -0.658457 0.698884
1500.000000 500.000000 -0.491845 0.834243 -0.249254
1500.000000 500.000000 0.685781 0.678825 -0.262490
1500.000000 500.000000 0.907297 0.069764 -0.414662
1500.000000 500.000000 -0.205755 0.883407 0.421018
1500.000000 500.000000 0.483583 0.351605 0.801574
1500.000000 500.000000 -0.858180 0.036530 -0.512048
1500.000000 500.000000 0.931251 0.252270 0.262929
1500.000000 500.000000 0.883826 -0.289644 -0.367366
1500.000000 500.000000 -0.855410 -0.517829 0.011264
1500.000000 500.000000 0.686147 -0.306829 0.659589
1500.000000 500.000000 -0.846482 -0.399217 0.352271
1500.000000 500.000000 -0.047534 -0.876271 0.479469
1500.000000 500.000000 0.971714 0.223946 -0.074968
1500.000000 500.000000 0.182914 -0.959035 0.216321
1500.000000 500.000000 -0.327756 -0.105010 -0.938909
1500.000000 500.000000 -0.018936 0.991058 0.132080
1500.000000 500.000000 0.442022 -0.211588 0.871692
1500.000000 500.000000 0.039470 -0.724305 -0.688349
1500.000000 500.000000 -0.320611 0.182642 0.929436
1500.000000 500.000000 0.459862 0.368147 -0.808081
1500.000000 500.000000 -0.382949 -0.812651 0.439258
1500.000000 500.000000 0.777662 0.542477 0.317745
1500.000000 500.000000 -0.243297 -0.130966 0.961069
1500.000000 500.000000 -0.519247 0.770046 0.370691
1500.000000 500.000000 0.860206 -0.350298 0.370590
1500.000000 500.000000 0.166135 0.453334 0.875721
1500.000000 500.000000 0.143467 0.974235 -0.174023
1500.000000 500.000000 -0.527175 0.363027 0.768309
1500.000000 500.000000 -0.731190 -0.242485 0.637622
